Desc	Family ID	Mus_musculus	Cavia_porcellus	Dipodomys_ordii	Heterocephalus_glaber	Octodon_degus	Chinchilla_lanigera	Microtus_ochrogaster	Nannospalax_galili	Marmota_marmota	Castor_canadensis	Meriones_unguiculatus	Urocitellus_parryii	Cricetulus_griseus	Marmota_flaviventris	Peromyscus_maniculatus	Peromyscus_leucopus	Grammomys_surdaster	Mastomys_coucha	Rattus_rattus	Arvicanthis_niloticus	Fukomys_damarensis	Microtus_fortis	Rattus_norvegicus	Ictidomys_tridecemlineatus	Mesocricetus_auratus	Microtus_oregoni	Dipodomys_spectabilis	Jaculus_jaculus	Marmota_monax	Perognathus_longimembris	Mus_caroli	Mus_pahari	Neosciurus_carolinensis	Myodes_glareolus	Arvicola_amphibius	Onychomys_torridus	MGP_CASTEiJ	Mus_spicilegus	MGP_SPRETEiJ	Oryctolagus_cuniculus	Sciurus_vulgaris	Spermophilus_dauricus
(null)	44	14	11	9	12	15	9	13	11	15	16	13	16	7	17	14	11	13	14	9	15	16	13	12	13	12	14	10	14	20	15	10	13	12	13	12	15	15	13	18	9	11	10	
(null)	45	22	5	14	6	6	3	12	10	6	10	16	7	10	7	12	18	16	15	16	17	6	17	23	7	16	24	14	10	6	13	20	22	11	15	12	14	23	20	22	5	9	7	
(null)	46	14	10	7	9	3	4	9	22	19	5	13	9	14	14	10	16	13	9	16	14	11	21	20	14	19	35	5	7	17	6	15	12	28	21	20	21	7	10	7	9	2	2	
(null)	47	22	8	18	5	10	8	11	14	6	12	13	9	3	8	26	21	11	10	13	22	5	15	14	12	10	13	13	9	8	14	11	13	10	13	14	12	27	23	24	12	13	3	
(null)	48	14	11	12	10	8	12	29	11	7	11	16	9	10	10	8	22	13	11	11	7	7	22	17	9	12	21	13	12	11	7	6	14	8	18	19	9	22	22	16	21	8	2	
(null)	49	19	17	16	15	13	7	16	16	12	14	1	12	15	10	13	18	9	13	16	19	10	16	17	13	17	15	15	13	14	15	11	11	16	13	18	20	4	3	3	16	6	1	
(null)	50	15	15	14	13	13	10	11	13	12	13	11	13	11	12	10	12	13	11	15	12	13	11	14	8	11	19	14	11	15	12	10	12	12	15	12	10	19	13	16	13	14	15	
(null)	51	30	24	13	2	6	2	10	8	10	16	7	7	16	13	23	24	17	13	17	17	1	14	21	10	15	23	16	13	10	12	15	14	13	12	26	14	5	6	1	18	0	2	
(null)	52	17	9	14	11	15	9	10	11	8	11	14	12	11	15	14	12	14	10	11	10	9	13	12	10	14	11	17	8	11	13	13	11	7	11	13	9	27	17	27	12	19	13	
(null)	53	19	7	13	8	6	7	12	16	7	12	12	9	10	9	14	20	16	18	17	15	8	13	18	9	8	15	12	9	13	20	19	15	11	7	14	12	20	17	17	10	12	5	
(null)	54	28	9	11	5	12	7	8	7	6	19	16	8	1	6	4	7	13	4	11	9	8	5	19	8	4	5	5	5	4	9	6	4	8	8	8	10	43	64	33	10	44	29	
(null)	55	15	12	12	8	11	10	13	9	11	13	14	6	10	12	12	15	11	7	10	12	9	12	16	9	7	10	15	12	15	15	9	12	11	12	10	10	26	19	25	14	21	18	
(null)	56	10	8	15	13	4	5	7	85	16	7	4	6	7	15	11	12	6	11	16	12	20	9	18	13	15	11	22	8	11	32	15	14	9	8	10	7	7	13	6	7	2	1	
(null)	57	18	12	1	5	6	7	18	7	10	19	12	7	14	6	27	22	21	17	10	20	6	29	7	8	13	59	1	5	6	3	21	13	5	29	26	26	3	3	3	2	1	0	
(null)	58	11	16	17	9	14	16	11	17	8	13	22	9	2	11	14	12	13	11	13	12	12	10	12	12	10	10	12	11	13	12	12	12	9	10	14	12	25	13	18	17	13	5	
(null)	59	15	4	13	3	9	8	12	15	5	7	13	6	12	3	18	19	16	6	11	10	2	12	21	8	21	27	21	4	12	9	12	17	21	20	19	8	12	20	17	29	3	3	
(null)	60	23	12	12	2	11	12	14	6	4	8	14	7	8	10	14	16	15	19	16	11	6	16	21	8	13	21	11	13	5	11	11	15	8	18	15	7	17	23	15	12	8	13	
(null)	61	13	12	13	11	8	8	8	15	18	12	9	17	7	11	11	17	12	11	10	10	6	11	8	20	5	15	17	20	12	20	12	9	29	13	8	9	15	11	15	20	8	5	
(null)	62	26	10	19	4	12	18	10	17	3	9	12	7	9	6	10	14	14	11	10	9	8	11	14	4	11	7	14	12	10	11	7	11	10	15	14	10	27	21	28	7	21	17	
(null)	63	21	7	24	4	5	3	9	37	4	8	6	0	9	5	11	15	21	19	23	20	7	14	22	2	13	13	23	11	5	23	28	23	3	13	15	14	10	15	10	4	0	0	
(null)	64	18	12	14	11	13	14	7	10	11	14	12	17	6	12	7	12	15	13	7	11	8	10	13	13	10	8	10	16	16	14	8	13	10	8	8	7	19	19	21	13	20	19	
(null)	65	16	10	15	12	5	11	10	12	16	13	10	9	3	11	8	11	10	6	8	11	7	10	13	13	8	12	15	12	12	13	10	9	18	11	11	12	26	32	26	9	18	14	
(null)	66	17	28	3	8	12	24	7	5	15	1	18	15	4	21	11	9	8	18	18	29	8	6	16	18	1	8	3	3	29	2	6	13	45	10	8	9	9	7	8	38	0	0	
(null)	67	17	15	10	9	4	13	11	10	5	9	22	6	7	7	7	12	20	14	11	22	4	8	16	8	4	13	5	5	10	8	18	16	18	24	7	12	30	21	26	10	17	6	
(null)	68	13	5	6	3	8	12	25	18	5	13	11	5	13	6	13	14	31	13	15	17	8	29	15	6	14	24	5	8	7	7	15	16	7	29	25	14	12	9	9	8	1	0	
(null)	69	18	4	3	5	4	5	11	17	9	3	11	9	16	8	25	20	17	19	25	18	4	14	22	8	15	18	3	6	14	1	22	15	18	13	13	23	19	18	18	3	0	0	
(null)	70	207	7	3	1	3	7	11	4	3	2	5	3	9	8	6	7	4	2	10	8	4	7	26	8	21	63	3	6	2	6	8	8	3	10	8	7	2	2	2	4	2	2	
(null)	71	13	15	17	11	3	14	10	12	13	10	8	12	11	11	16	15	16	12	13	17	10	10	12	15	14	10	20	7	16	16	13	13	34	12	7	10	10	10	9	12	0	1	
(null)	72	12	7	16	21	21	17	9	29	17	34	22	5	12	3	12	8	17	23	4	7	12	8	3	8	14	13	6	18	13	15	18	15	6	16	15	7	5	6	6	2	4	3	
(null)	73	24	13	7	12	24	7	14	13	17	7	9	8	4	9	12	10	9	19	11	10	7	13	7	14	14	13	12	12	12	14	20	12	9	15	6	12	20	14	20	10	7	5	
(null)	74	20	8	14	5	6	7	6	5	9	11	11	4	4	10	8	10	8	6	10	10	4	4	18	6	10	10	9	8	7	11	6	7	7	8	8	9	43	43	45	20	27	24	
